Start Date,Weather Conditions,Port Congestion,Navigational Issues,Mechanical Breakdowns,Maintenance and Repairs,Customs and Documentation,Labor Strikes,Piracy and Security Concerns,Traffic and Navigation Regulations,Fuel Availability and Costs,Cargo Handling,Trade Volume,Geopolitical Factors,Global Events,Seasonal Factors,Contract Arrival Time,Ship Routine,Ship type,Delay
2023-10-09,0.07259049649883109,0.6830187703515195,0.3583940682990807,0.7195146147329896,0.35797319495487945,0.2406045396469204,0.5979277512681667,0.20782381867360744,0.24876396509881826,0.053756471162342945,0.8636923300352929,0.09087202974113584,0.34733744239069486,0.36105349042477586,0.1943039994091632,2023-10-20,b,y,1
2023-01-20,0.09773712391031208,0.47659434308852155,0.5431200534385461,0.593460764449736,0.43146747596150925,0.9844088321903167,0.5943562493730052,0.5667408112098455,0.4999510199979127,0.862575408053079,0.42270153211806716,0.2537878240815058,0.42107116911639,0.26400585886442673,0.999819931868309,2023-02-15,a,x,3
2023-05-12,0.37555182439930856,0.7018965407344958,0.012792832326148806,0.6570813372801115,0.9711475891046031,0.5926072066428252,0.3202791755585602,0.42956607316789885,0.29699630824995404,0.4063810445113035,0.782675454675088,0.5152205067555946,0.12270186283091289,0.3931055729360705,0.2989063369036422,2023-06-01,c,x,1
2023-05-19,0.28127720371362974,0.5326825018558192,0.5019834142528242,0.01988700324162951,0.1430679505208975,0.6176702068687803,0.20963644300741868,0.4436331425942146,0.521426705898539,0.7372616623699023,0.7228907308503254,0.28953025561431633,0.7512383913151486,0.8666022963594021,0.10119929468131306,2023-06-11,b,z,0
2023-09-09,0.17496840495770238,0.8321932119479094,0.28198488339377414,0.24609039845734582,0.5821609400921998,0.7463205078450756,0.7867958360940056,0.12575563923844646,0.7539398929953007,0.9815108355412296,0.9756600767807867,0.10479867926900233,0.968038782800581,0.14515411527744015,0.6908790766646693,2023-10-05,c,x,2
2023-12-21,0.2223350349223664,0.40582059199039755,0.7290272098019211,0.962410399646711,0.7664840249063619,0.35855638318576377,0.9922174395343611,0.6290001417631211,0.08317144003233046,0.587584933625701,0.8549563871348512,0.3168121711708932,0.06967679098026491,0.43443225917485095,0.7459266500728662,2024-01-01,b,y,3
2023-11-17,0.864062031102408,0.5372774507902575,0.8261265392264752,0.012217638053127255,0.4563288140285897,0.9527432541765903,0.04732534493085172,0.8985096815090519,0.3195020137323613,0.16758128095240699,0.5286577952817523,0.2519928064242416,0.3654511028564432,0.11897147933621899,0.44343815852780755,2023-12-07,a,y,1
2023-02-09,0.9055255134774162,0.34482119452511606,0.9050281784831481,0.861473108425553,0.18149869781118544,0.12587399068742344,0.5619542290734746,0.5414360831073193,0.4937441841457274,0.09397284226288916,0.1068544247725749,0.025858465108906548,0.9224991608638395,0.1737179660039736,0.9051045035725651,2023-03-09,c,z,3
2023-08-08,0.6951853934400548,0.3334282266463904,0.19503486651917623,0.6617638970647842,0.08943157303494764,0.2926611315754468,0.26830713268661033,0.6158097514258476,0.979140554036611,0.1868890203123792,0.8906310308921878,0.005262465334158195,0.06707878588069771,0.03518063842901553,0.7462982433009767,2023-08-14,c,z,4
2023-08-15,0.7017565692733457,0.8964702748322239,0.38969397338228196,0.5654429474500898,0.3402300809088976,0.7827056016418383,0.31242055966496707,0.5143842402642792,0.8230378821398491,0.08184147372577122,0.5610548019219853,0.7464073770465975,0.5364634541760146,0.5632406477249982,0.5785702550777946,2023-08-29,a,x,3
2023-03-27,0.3654573320015778,0.2161749655135342,0.7421218232270549,0.6302547384313221,0.4684721883023526,0.9523457779544964,0.5018667917365366,0.5766539601079824,0.09921746779519713,0.1455168103261678,0.08888847631567709,0.08866592864569134,0.7384654304475038,0.5901756423909008,0.06676113226900782,2023-04-02,a,x,1
2023-11-28,0.5630713516009663,0.9735375300411809,0.17087162572532055,0.6725953371644567,0.39793056561221385,0.43240357829621856,0.3321226025990428,0.3197711330970364,0.4143776217503835,0.3011675925455476,0.29402594939508786,0.288843206986235,0.6856421557235716,0.3934860508638357,0.253937877286879,2023-12-14,a,z,2
2023-05-07,0.268022655546174,0.1753296078436719,0.9221081400645832,0.882289291212332,0.705736923198284,0.19814083382826364,0.12037810835884,0.294988614257813,0.7357627535817778,0.7770778677936998,0.3961698143470208,0.47576239816579835,0.30370839462832444,0.8164750588285252,0.6714286500645554,2023-05-18,c,y,1
2023-02-02,0.4431702107051755,0.7548937448253717,0.7857419326039161,0.9208951611532359,0.42883931138515985,0.09249769391981344,0.06403430142813171,0.47838298494391407,0.6943827229451301,0.696033424582527,0.6789365460590873,0.2451258522798183,0.16461842946600314,0.49595303442906613,0.843580837858208,2023-02-12,a,y,0
2023-03-17,0.5634128020881279,0.29132954512231446,0.9737561716535401,0.8696311781781296,0.6419945067685178,0.9178394044654387,0.7463219851423456,0.6943612455514615,0.7365565735356838,0.24958744499269425,0.017643369144033083,0.2873580386458672,0.6725779846140956,0.5510990376569009,0.3966619866036555,2023-04-13,a,z,4
2023-10-15,0.808522281043073,0.6612321298431425,0.141883008541547,0.587311132757052,0.941430722631535,0.36578937764155894,0.7039042867731542,0.34325585798283675,0.7176483267223628,0.9169606806368734,0.8301758748969416,0.9766652946839645,0.2563993682965594,0.10919671949621867,0.9669541788519066,2023-11-03,a,y,1
2023-07-17,0.9718618286964968,0.7924760313037305,0.14785128644334844,0.06263908510281835,0.8736137615686043,0.7707268816095436,0.3374596582421493,0.01607165713396097,0.2724968158255596,0.0023649753052782385,0.4033198624349007,0.8402438740399284,0.700306751663591,0.7034002087692417,0.016372190214053894,2023-08-04,b,x,2
2023-08-04,0.04727044888059695,0.574501361693415,0.04390316505170222,0.00704807307534705,0.8277415251147132,0.8629814422832403,0.7427761192425292,0.6781978288449433,0.5334009062518413,0.45875724081836533,0.6252247376069127,0.013407880080669732,0.06388909613438254,0.5573905823956231,0.584122294514664,2023-08-23,b,z,1
2023-09-04,0.7357991019625775,0.7472399872490286,0.9136368827439649,0.22182714827720096,0.053072628101939245,0.7180707593321669,0.928160807428796,0.07393862877249813,0.591922174283476,0.8543557667823485,0.412377338708823,0.6785790036312104,0.7427803794665238,0.8472642688981407,0.6817253795582273,2023-09-14,a,z,4
2023-06-08,0.25033416991448165,0.9439194797599292,0.7411405506902636,0.059909240088906524,0.9459654697280441,0.4180032306159899,0.5673356082592245,0.6391732184039491,0.6362181966313915,0.6445133677440927,0.5597402753802915,0.827010991823371,0.5578995559736717,0.3458172758944824,0.3324052873906703,2023-06-25,a,z,2
2023-09-25,0.7810650501728208,0.6465587850240807,0.3102767342834657,0.49937738369507845,0.09070782035254632,0.9305356627061409,0.19838594963491163,0.8662588612155323,0.8564550731384963,0.2254786000527399,0.4604784295599553,0.3021399234685931,0.890216655287333,0.9931203971891577,0.5990973931551911,2023-10-01,c,x,1
2023-01-20,0.5039106387686286,0.4269221390545169,0.8362291770214397,0.697682517336335,0.08940920841698619,0.1885574089150358,0.7939706920572485,0.5726977401426374,0.12576979666706234,0.05130434489383584,0.790806488754672,0.053273696844580165,0.9797966746035146,0.2437180207283326,0.4991270090334824,2023-02-08,c,y,3
2023-06-27,0.937320979851046,0.07958836678674774,0.4598121813364232,0.3230864747494939,0.8977149416762639,0.5323664963464548,0.43096438574223106,0.6494049331918197,0.9993172443188729,0.7012700372022962,0.24900105162945663,0.9776596875250267,0.2621131689609981,0.5653059880391073,0.6323235759531768,2023-07-19,a,y,4
2023-05-11,0.3085659589286981,0.46398433326119637,0.939851848765028,0.0975218731950026,0.7289192439775013,0.83457661231621,0.33623534177483005,0.4682545416231537,0.27700033965162396,0.5600838727904867,0.860417982240606,0.689466818780788,0.7978784799120677,0.9292443171886186,0.6662442521648206,2023-05-30,b,z,2
2023-05-19,0.614859963091198,0.7968482220120822,0.346171181499735,0.5946515081945775,0.3256622739792805,0.4980079927566432,0.6618121953879386,0.8525671977220554,0.3253967515876076,0.29066392099160854,0.24517382408199828,0.2480112652505998,0.0902334962317386,0.3678095692552408,0.43454582260071584,2023-06-09,c,x,2
